Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202308062110,The Peak,26.1
202308062110,The Peak,26.1
202308062120,The Peak,26.1
202308062120,The Peak,26.1
202308062120,The Peak,26.1
202308062120,The Peak,26.1
202308062130,The Peak,26.0
202308062130,The Peak,26.0
202308062130,The Peak,26.0
202308062130,The Peak,26.0
202308062140,The Peak,26.0
202308062140,The Peak,26.0
202308062140,The Peak,26.0
202308062140,The Peak,26.0
202308062140,The Peak,26.0
202308062140,The Peak,26.0
202308062150,The Peak,26.0
202308062200,The Peak,26.0
202308062200,The Peak,26.0
202308062200,The Peak,26.0
202308062200,The Peak,26.0
202308062200,The Peak,26.0
202308062200,The Peak,26.0
202308062210,The Peak,26.0
202308062210,The Peak,26.0
202308062210,The Peak,26.0
202308062210,The Peak,26.0
202308062210,The Peak,26.0
202308062220,The Peak,26.1
202308062220,The Peak,26.1
202308062220,The Peak,26.1
202308062230,The Peak,26.1
202308062230,The Peak,26.1
202308062230,The Peak,26.1
202308062230,The Peak,26.1
202308062230,The Peak,26.1
202308062230,The Peak,26.1
202308062240,The Peak,26.1
202308062240,The Peak,26.1
202308062240,The Peak,26.1
202308062240,The Peak,26.1
202308062240,The Peak,26.1
202308062240,The Peak,26.1
202308062250,The Peak,26.2
202308062250,The Peak,26.2
202308062250,The Peak,26.2
202308062250,The Peak,26.2
202308062250,The Peak,26.2
202308062250,The Peak,26.2
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062300,The Peak,26.1
202308062310,The Peak,26.1
202308062310,The Peak,26.1
202308062310,The Peak,26.1
202308062310,The Peak,26.1
202308062310,The Peak,26.1
202308062320,The Peak,26.2
202308062320,The Peak,26.2
202308062320,The Peak,26.2
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062330,The Peak,26.1
202308062340,The Peak,26.1
202308062340,The Peak,26.1
202308062340,The Peak,26.1
202308062350,The Peak,26.1
202308062350,The Peak,26.1
202308062350,The Peak,26.1
202308062350,The Peak,26.1
202308070000,The Peak,26.1
202308070000,The Peak,26.1
202308070000,The Peak,26.1
202308070010,The Peak,26.1
202308070010,The Peak,26.1
202308070010,The Peak,26.1
202308070010,The Peak,26.1
202308070010,The Peak,26.1
202308070010,The Peak,26.1
202308070020,The Peak,26.1
