Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius),Air Temperature(degree Celsius)
437558988,The Peak,19.3,14.1,16.7
437558998,The Peak,19.3,14.1,16.7
437558998,The Peak,19.3,14.1,16.7
437559008,The Peak,19.3,14.1,16.7
437559008,The Peak,19.3,14.1,16.7
437559018,The Peak,19.3,14.1,16.7
437559018,The Peak,19.3,14.1,16.7
437559028,The Peak,19.3,14.1,16.7
437559028,The Peak,19.3,14.1,16.7
437559038,The Peak,19.3,14.1,16.7
437559038,The Peak,19.3,14.1,16.7
437559088,The Peak,19.3,14.1,16.7
437559088,The Peak,19.3,14.1,16.7
437559098,The Peak,19.3,14.1,16.7
437559098,The Peak,19.3,14.1,16.7
437559108,The Peak,19.3,14.1,16.7
437559108,The Peak,19.3,14.1,16.7
437559118,The Peak,19.3,14.1,16.7
437559118,The Peak,19.3,14.1,16.7
437559128,The Peak,19.3,14.1,16.7
437559128,The Peak,19.3,14.1,16.7
437559138,The Peak,19.3,14.1,16.7
437559138,The Peak,19.3,14.1,16.7
437559188,The Peak,19.3,14.1,16.7
437559188,The Peak,19.3,14.1,16.7
437559198,The Peak,19.3,14.1,16.7
437559198,The Peak,19.3,14.1,16.7
437559208,The Peak,19.3,14.1,16.7
437559208,The Peak,19.3,14.1,16.7
437559218,The Peak,19.3,14.1,16.7
437559218,The Peak,19.3,14.1,16.7
437559228,The Peak,19.3,14.1,16.7
437559228,The Peak,19.3,14.1,16.7
437559238,The Peak,19.3,14.1,16.7
437559238,The Peak,19.3,14.1,16.7
437559288,The Peak,19.3,14.1,16.7
437559288,The Peak,19.3,14.1,16.7
437559298,The Peak,19.3,14.1,16.7
437559298,The Peak,19.3,14.1,16.7
437559308,The Peak,19.3,14.1,16.7
437559308,The Peak,19.3,14.1,16.7
437559318,The Peak,19.3,14.1,16.7
437559318,The Peak,19.3,14.1,16.7
437559328,The Peak,19.3,14.1,16.7
437559328,The Peak,19.3,14.1,16.7
437559338,The Peak,19.3,14.1,16.7
437559338,The Peak,19.3,14.1,16.7
437559388,The Peak,19.3,14.1,16.7
437559388,The Peak,19.3,14.1,16.7
437559398,The Peak,19.3,14.1,16.7
437559398,The Peak,19.3,14.1,16.7
437559408,The Peak,19.3,14.1,16.7
437559408,The Peak,19.3,14.1,16.7
437559418,The Peak,19.3,14.1,16.7
437559418,The Peak,19.3,14.1,16.7
437559428,The Peak,19.3,14.1,16.7
437559428,The Peak,19.3,14.1,16.7
437559438,The Peak,19.3,14.1,16.7
437567088,The Peak,19.3,14.1,16.7
437567098,The Peak,14.3,14.3,14.3
437567108,The Peak,14.3,14.3,14.3
437567118,The Peak,14.3,14.2,14.25
437567128,The Peak,14.3,14.2,14.25
437567138,The Peak,14.3,14.2,14.25
437567188,The Peak,14.3,14.2,14.25
437567198,The Peak,14.3,14.2,14.25
437567208,The Peak,14.3,14.1,14.2
437567218,The Peak,14.3,14.0,14.15
437567228,The Peak,14.3,14.0,14.15
437567238,The Peak,14.3,14.0,14.15
437567288,The Peak,14.3,13.9,14.100000000000001
437567298,The Peak,14.3,13.9,14.100000000000001
437567308,The Peak,14.3,13.9,14.100000000000001
437567318,The Peak,14.3,13.9,14.100000000000001
437567328,The Peak,14.3,13.9,14.100000000000001
437567338,The Peak,14.3,13.8,14.05
437567388,The Peak,14.3,13.8,14.05
437567398,The Peak,14.3,13.7,14.0
437567408,The Peak,14.3,13.7,14.0
437567418,The Peak,14.3,13.6,13.95
437567428,The Peak,14.3,13.6,13.95
437567438,The Peak,14.3,13.4,13.850000000000001
437567488,The Peak,14.3,13.4,13.850000000000001
437567498,The Peak,14.3,13.3,13.8
437567508,The Peak,14.3,13.3,13.8
437567518,The Peak,14.3,13.3,13.8
437567528,The Peak,14.3,13.2,13.75
437567538,The Peak,14.3,13.1,13.7
437567588,The Peak,14.3,13.0,13.65
437567598,The Peak,14.3,13.0,13.65
437567608,The Peak,14.3,13.0,13.65
437567618,The Peak,14.3,13.0,13.65
437567628,The Peak,14.3,12.9,13.600000000000001
437567638,The Peak,14.3,12.8,13.55
437567688,The Peak,14.3,12.8,13.55
437567698,The Peak,14.3,12.8,13.55
437567708,The Peak,14.3,12.8,13.55
437567718,The Peak,14.3,12.8,13.55
437567728,The Peak,14.3,12.8,13.55
437567738,The Peak,14.3,12.8,13.55
437567788,The Peak,14.3,12.8,13.55
437567798,The Peak,14.3,12.8,13.55
437567808,The Peak,14.3,12.8,13.55
437567818,The Peak,14.3,12.8,13.55
437567828,The Peak,14.3,12.8,13.55
437567838,The Peak,14.3,12.8,13.55
437567888,The Peak,14.3,12.8,13.55
437567898,The Peak,14.3,12.8,13.55
437567908,The Peak,14.3,12.8,13.55
437567918,The Peak,14.3,12.8,13.55
437567928,The Peak,14.3,12.8,13.55
437567938,The Peak,14.3,12.8,13.55
437567988,The Peak,14.3,12.8,13.55
437567998,The Peak,14.3,12.8,13.55
437568008,The Peak,14.3,12.8,13.55
437568018,The Peak,14.3,12.8,13.55
437568028,The Peak,14.3,12.8,13.55
437568038,The Peak,14.3,12.8,13.55
437568088,The Peak,14.3,12.8,13.55
437568098,The Peak,14.3,12.8,13.55
437568108,The Peak,14.3,12.8,13.55
437568118,The Peak,14.3,12.8,13.55
437568128,The Peak,14.3,12.8,13.55
437568138,The Peak,14.4,12.8,13.600000000000001
437568188,The Peak,14.5,12.8,13.65
437568198,The Peak,14.7,12.8,13.75
437568208,The Peak,14.8,12.8,13.8
437568218,The Peak,14.9,12.8,13.850000000000001
437568228,The Peak,15.0,12.8,13.9
437568238,The Peak,15.4,12.8,14.100000000000001
437568288,The Peak,15.4,12.8,14.100000000000001
437568298,The Peak,15.6,12.8,14.2
437568308,The Peak,15.8,12.8,14.3
437568318,The Peak,15.8,12.8,14.3
437568328,The Peak,16.0,12.8,14.4
437568338,The Peak,16.2,12.8,14.5
437568388,The Peak,16.2,12.8,14.5
437568398,The Peak,16.2,12.8,14.5
437568408,The Peak,16.2,12.8,14.5
437568418,The Peak,16.4,12.8,14.6
437568428,The Peak,16.4,12.8,14.6
437568438,The Peak,16.4,12.8,14.6
437568488,The Peak,16.4,12.8,14.6
437568498,The Peak,16.4,12.8,14.6
437568508,The Peak,16.4,12.8,14.6
437568518,The Peak,16.4,12.8,14.6
437568528,The Peak,16.4,12.8,14.6
437568538,The Peak,16.4,12.8,14.6
437568588,The Peak,16.4,12.8,14.6
437568598,The Peak,16.4,12.8,14.6
437568608,The Peak,16.4,12.8,14.6
437568618,The Peak,16.4,12.8,14.6
437568628,The Peak,16.4,12.8,14.6
437568638,The Peak,16.4,12.8,14.6
437568688,The Peak,16.4,12.8,14.6
437568698,The Peak,16.4,12.8,14.6
437568708,The Peak,16.4,12.8,14.6
437568718,The Peak,16.4,12.8,14.6
437568728,The Peak,16.4,12.8,14.6
437568738,The Peak,16.4,12.8,14.6
437568788,The Peak,16.4,12.8,14.6
437568798,The Peak,16.4,12.8,14.6
437568808,The Peak,16.4,12.8,14.6
437568818,The Peak,16.4,12.8,14.6
437568828,The Peak,16.4,12.8,14.6
437568838,The Peak,16.4,12.8,14.6
437568888,The Peak,16.4,12.8,14.6
437568898,The Peak,16.4,12.8,14.6
437568908,The Peak,16.4,12.8,14.6
437568918,The Peak,16.4,12.8,14.6
437568928,The Peak,16.4,12.8,14.6
437568938,The Peak,16.4,12.8,14.6
437568988,The Peak,16.4,12.8,14.6
437568998,The Peak,16.4,12.8,14.6
437569008,The Peak,16.4,12.8,14.6
437569018,The Peak,16.4,12.8,14.6
437569028,The Peak,16.4,12.8,14.6
437569038,The Peak,16.4,12.8,14.6
437569088,The Peak,16.4,12.8,14.6
437569098,The Peak,16.4,12.8,14.6
437569108,The Peak,16.4,12.8,14.6
437569118,The Peak,16.4,12.8,14.6
437569128,The Peak,16.4,12.8,14.6
437569138,The Peak,16.4,12.8,14.6
437569188,The Peak,16.4,12.8,14.6
437569198,The Peak,16.4,12.8,14.6
437569208,The Peak,16.4,12.8,14.6
437569218,The Peak,16.4,12.8,14.6
437569228,The Peak,16.4,12.8,14.6
437569238,The Peak,16.4,12.8,14.6
437569288,The Peak,16.4,12.8,14.6
437569298,The Peak,16.4,12.8,14.6
437569308,The Peak,16.4,12.8,14.6
437569318,The Peak,16.4,12.8,14.6
437569328,The Peak,16.4,12.8,14.6
437569338,The Peak,16.4,12.8,14.6
437569388,The Peak,16.4,12.8,14.6
437569398,The Peak,16.4,12.8,14.6
437569408,The Peak,16.4,12.8,14.6
437569418,The Peak,16.4,12.8,14.6
437569438,The Peak,16.4,12.8,14.6
437577088,The Peak,16.4,12.8,14.6
437577098,The Peak,13.6,13.5,13.55
437577108,The Peak,13.6,13.5,13.55
437577118,The Peak,13.6,13.5,13.55
437577128,The Peak,13.6,13.5,13.55
437577138,The Peak,13.6,13.5,13.55
437577188,The Peak,13.6,13.4,13.5
437577198,The Peak,13.6,13.4,13.5
437577208,The Peak,13.6,13.4,13.5
437577218,The Peak,13.6,13.4,13.5
437577228,The Peak,13.6,13.4,13.5
437577238,The Peak,13.6,13.4,13.5
437577288,The Peak,13.6,13.4,13.5
437577298,The Peak,13.6,13.4,13.5
437577308,The Peak,13.6,13.4,13.5
437577318,The Peak,13.6,13.3,13.45
437577328,The Peak,13.6,13.2,13.399999999999999
437577338,The Peak,13.6,13.2,13.399999999999999
437577388,The Peak,13.6,13.1,13.35
437577398,The Peak,13.6,13.1,13.35
437577408,The Peak,13.6,13.1,13.35
437577418,The Peak,13.6,13.0,13.3
437577428,The Peak,13.6,12.8,13.2
437577438,The Peak,13.6,12.7,13.149999999999999
437577488,The Peak,13.6,12.7,13.149999999999999
437577498,The Peak,13.6,12.7,13.149999999999999
437577508,The Peak,13.6,12.7,13.149999999999999
437577518,The Peak,13.6,12.7,13.149999999999999
437577528,The Peak,13.6,12.7,13.149999999999999
437577538,The Peak,13.6,12.7,13.149999999999999
437577588,The Peak,13.6,12.7,13.149999999999999
437577598,The Peak,13.6,12.7,13.149999999999999
437577608,The Peak,13.6,12.7,13.149999999999999
437577618,The Peak,13.6,12.7,13.149999999999999
437577628,The Peak,13.6,12.6,13.1
437577638,The Peak,13.6,12.6,13.1
437577688,The Peak,13.6,12.5,13.05
437577698,The Peak,13.6,12.5,13.05
437577708,The Peak,13.6,12.5,13.05
